kommun_kod,kommun_namn,elomrade_primary,elomrade_secondary,is_split,primary_basis,source,note
2181,Sandviken,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2182,Söderhamn,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2183,Bollnäs,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2184,Hudiksvall,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2039,Älvdalen,SE2,SE3,true,main zone selected,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2021,Vansbro,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2023,Malung-Sälen,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2026,Gagnef,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2029,Leksand,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2031,Rättvik,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2034,Orsa,SE2,SE3,true,main zone selected,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2062,Mora,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2080,Falun,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
1384,Kungsbacka,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
1383,Varberg,SE3,SE4,true,main zone selected checked on elmarknad,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
1382,Falkenberg,SE4,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
1380,Halmstad,SE4,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
1315,Hylte,SE4,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
1381,Laholm,SE4,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0680,Jönköping,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0683,Värnamo,SE4,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0662,Gislaved,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0617,Gnosjö,SE3,SE4,true,main zone selected,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0665,Vaggeryd,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0684,Sävsjö,SE3,SE4,true,main zone selected,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0685,Vetlanda,SE3,SE4,true,main zone selected,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0686,Eksjö,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0682,Nässjö,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0780,Växjö,SE4,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0760,Uppvidinge,SE4,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0781,Ljungby,SE4,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0764,Alvesta,SE4,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0880,Kalmar,SE4,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0883,Västervik,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0884,Vimmerby,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0882,Oskarshamn,SE4,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0860,Hultsfred,SE3,SE4,true,main zone selected,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
0821,Högsby,SE4,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
1452,Tranemo,SE3,SE4,true,main zone selected,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
1465,Svenljunga,SE3,SE4,true,main zone selected,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
1491,Ulricehamn,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
1463,Mark,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2361,Härjedalen,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
1737,Torsby,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
